"yr" "Mes" "Fecha" "Ciudad" "Temperatura"
1951 "enero" "1951-01-01" "Bucaramanga" NA
1951 "febrero" "1951-02-01" "Bucaramanga" NA
1951 "marzo" "1951-03-01" "Bucaramanga" NA
1951 "abril" "1951-04-01" "Bucaramanga" NA
1951 "mayo" "1951-05-01" "Bucaramanga" NA
1951 "junio" "1951-06-01" "Bucaramanga" NA
1951 "julio" "1951-07-01" "Bucaramanga" NA
1951 "agosto" "1951-08-01" "Bucaramanga" NA
1951 "septiembre" "1951-09-01" "Bucaramanga" NA
1951 "octubre" "1951-10-01" "Bucaramanga" NA
1951 "noviembre" "1951-11-01" "Bucaramanga" NA
1951 "diciembre" "1951-12-01" "Bucaramanga" NA
1952 "enero" "1952-01-01" "Bucaramanga" NA
1952 "febrero" "1952-02-01" "Bucaramanga" NA
1952 "marzo" "1952-03-01" "Bucaramanga" NA
1952 "abril" "1952-04-01" "Bucaramanga" NA
1952 "mayo" "1952-05-01" "Bucaramanga" NA
1952 "junio" "1952-06-01" "Bucaramanga" NA
1952 "julio" "1952-07-01" "Bucaramanga" NA
1952 "agosto" "1952-08-01" "Bucaramanga" NA
1952 "septiembre" "1952-09-01" "Bucaramanga" NA
1952 "octubre" "1952-10-01" "Bucaramanga" NA
1952 "noviembre" "1952-11-01" "Bucaramanga" NA
1952 "diciembre" "1952-12-01" "Bucaramanga" NA
1953 "enero" "1953-01-01" "Bucaramanga" NA
1953 "febrero" "1953-02-01" "Bucaramanga" NA
1953 "marzo" "1953-03-01" "Bucaramanga" NA
1953 "abril" "1953-04-01" "Bucaramanga" NA
1953 "mayo" "1953-05-01" "Bucaramanga" NA
1953 "junio" "1953-06-01" "Bucaramanga" NA
1953 "julio" "1953-07-01" "Bucaramanga" NA
1953 "agosto" "1953-08-01" "Bucaramanga" NA
1953 "septiembre" "1953-09-01" "Bucaramanga" NA
1953 "octubre" "1953-10-01" "Bucaramanga" NA
1953 "noviembre" "1953-11-01" "Bucaramanga" NA
1953 "diciembre" "1953-12-01" "Bucaramanga" NA
1954 "enero" "1954-01-01" "Bucaramanga" NA
1954 "febrero" "1954-02-01" "Bucaramanga" NA
1954 "marzo" "1954-03-01" "Bucaramanga" NA
1954 "abril" "1954-04-01" "Bucaramanga" NA
1954 "mayo" "1954-05-01" "Bucaramanga" NA
1954 "junio" "1954-06-01" "Bucaramanga" NA
1954 "julio" "1954-07-01" "Bucaramanga" NA
1954 "agosto" "1954-08-01" "Bucaramanga" NA
1954 "septiembre" "1954-09-01" "Bucaramanga" NA
1954 "octubre" "1954-10-01" "Bucaramanga" NA
1954 "noviembre" "1954-11-01" "Bucaramanga" NA
1954 "diciembre" "1954-12-01" "Bucaramanga" NA
1955 "enero" "1955-01-01" "Bucaramanga" NA
1955 "febrero" "1955-02-01" "Bucaramanga" NA
1955 "marzo" "1955-03-01" "Bucaramanga" NA
1955 "abril" "1955-04-01" "Bucaramanga" NA
1955 "mayo" "1955-05-01" "Bucaramanga" NA
1955 "junio" "1955-06-01" "Bucaramanga" NA
1955 "julio" "1955-07-01" "Bucaramanga" NA
1955 "agosto" "1955-08-01" "Bucaramanga" NA
1955 "septiembre" "1955-09-01" "Bucaramanga" NA
1955 "octubre" "1955-10-01" "Bucaramanga" NA
1955 "noviembre" "1955-11-01" "Bucaramanga" NA
1955 "diciembre" "1955-12-01" "Bucaramanga" NA
1956 "enero" "1956-01-01" "Bucaramanga" NA
1956 "febrero" "1956-02-01" "Bucaramanga" NA
1956 "marzo" "1956-03-01" "Bucaramanga" NA
1956 "abril" "1956-04-01" "Bucaramanga" NA
1956 "mayo" "1956-05-01" "Bucaramanga" NA
1956 "junio" "1956-06-01" "Bucaramanga" NA
1956 "julio" "1956-07-01" "Bucaramanga" NA
1956 "agosto" "1956-08-01" "Bucaramanga" NA
1956 "septiembre" "1956-09-01" "Bucaramanga" NA
1956 "octubre" "1956-10-01" "Bucaramanga" NA
1956 "noviembre" "1956-11-01" "Bucaramanga" NA
1956 "diciembre" "1956-12-01" "Bucaramanga" NA
1957 "enero" "1957-01-01" "Bucaramanga" NA
1957 "febrero" "1957-02-01" "Bucaramanga" NA
1957 "marzo" "1957-03-01" "Bucaramanga" NA
1957 "abril" "1957-04-01" "Bucaramanga" NA
1957 "mayo" "1957-05-01" "Bucaramanga" NA
1957 "junio" "1957-06-01" "Bucaramanga" NA
1957 "julio" "1957-07-01" "Bucaramanga" NA
1957 "agosto" "1957-08-01" "Bucaramanga" NA
1957 "septiembre" "1957-09-01" "Bucaramanga" NA
1957 "octubre" "1957-10-01" "Bucaramanga" NA
1957 "noviembre" "1957-11-01" "Bucaramanga" NA
1957 "diciembre" "1957-12-01" "Bucaramanga" NA
1958 "enero" "1958-01-01" "Bucaramanga" NA
1958 "febrero" "1958-02-01" "Bucaramanga" NA
1958 "marzo" "1958-03-01" "Bucaramanga" NA
1958 "abril" "1958-04-01" "Bucaramanga" NA
1958 "mayo" "1958-05-01" "Bucaramanga" NA
1958 "junio" "1958-06-01" "Bucaramanga" NA
1958 "julio" "1958-07-01" "Bucaramanga" NA
1958 "agosto" "1958-08-01" "Bucaramanga" NA
1958 "septiembre" "1958-09-01" "Bucaramanga" NA
1958 "octubre" "1958-10-01" "Bucaramanga" NA
1958 "noviembre" "1958-11-01" "Bucaramanga" NA
1958 "diciembre" "1958-12-01" "Bucaramanga" NA
1959 "enero" "1959-01-01" "Bucaramanga" NA
1959 "febrero" "1959-02-01" "Bucaramanga" NA
1959 "marzo" "1959-03-01" "Bucaramanga" NA
1959 "abril" "1959-04-01" "Bucaramanga" NA
1959 "mayo" "1959-05-01" "Bucaramanga" NA
1959 "junio" "1959-06-01" "Bucaramanga" NA
1959 "julio" "1959-07-01" "Bucaramanga" NA
